id,url,aspect,date,elevation,lat,lng,observerName,has_photo,has_video,snow_profile,primaryAvalancheProblem,avalancheProblem,region,roles,redFlags
36165,https://utahavalanchecenter.org/observation/36165,,20180128,Unknown,0,0,"Greg Gagne and Tom Flaherty",1,0,0,,Array,"Porter Fork","UAC Staff",Array
36123,https://utahavalanchecenter.org/observation/36123,,20180127,Unknown,0,0,"Max Schuler",0,0,0,,Array,"Flagstaff Ridge","UAC Staff",Array
36047,https://utahavalanchecenter.org/observation/36047,,20180126,Unknown,0,0,"Hardesty, Pflueger",0,0,0,,Array,"Patsy Marly","UAC Staff",Array
35869,https://utahavalanchecenter.org/observation/35869,,20180122,Unknown,0,0,"Hardesty, Wilson",0,1,0,"Persistent Weak Layer",Array,"Cardiff Fork","UAC Staff",Array
35798,https://utahavalanchecenter.org/observation/35798,,20180121,Unknown,0,0,Evelyn,0,0,0,"Persistent Weak Layer",Array,"Big Cottonwood Canyon","UAC Staff",Array
35757,https://utahavalanchecenter.org/observation/35757,,20180120,Unknown,0,0,"Greg Gagne",0,0,0,"Persistent Weak Layer",Array,"Big Water","UAC Staff",Array
35702,https://utahavalanchecenter.org/observation/35702,Northeast,20180119,9800,40.602062192386,-111.555926787,"Mark Staples",1,0,1,,Array,10420,"UAC Staff",Array
35698,https://utahavalanchecenter.org/observation/35698,,20180119,Unknown,0,0,"Hardesty, Wilson, Cookler",1,0,0,"Persistent Weak Layer",Array,"Mineral Fork","UAC Staff",Array
35657,https://utahavalanchecenter.org/observation/35657,,20180118,Unknown,0,0,"Greg Gagne",1,1,0,"Persistent Weak Layer",Array,"Big Cottonwood Canyon","UAC Staff",Array
35571,https://utahavalanchecenter.org/observation/35571,,20180116,Unknown,0,0,"Hardesty, Cookler",1,0,0,"Persistent Weak Layer",Array,"Days Fork","UAC Staff",Array
35450,https://utahavalanchecenter.org/observation/35450,South,20180114,7500,40.670976529608,-111.62761686955,Evelyn,1,0,1,,Array,"Little Water","UAC Staff",Array
35296,https://utahavalanchecenter.org/observation/35296,East,20180111,9100,0,0,"Hardesty, Wilson, Torrey, Diegel",0,1,1,"Persistent Weak Layer",Array,"West Desolation Ridge","UAC Staff",Array
35179,https://utahavalanchecenter.org/observation/35179,,20180109,Unknown,0,0,"Mark Staples",1,1,0,,Array,"Guardsman Pass area","UAC Staff",Array
35072,https://utahavalanchecenter.org/observation/35072,,20180107,Unknown,0,0,"Greg Gagne/Mark Johnston",1,1,0,,Array,"Cottonwood Canyons","UAC Staff",Array
35024,https://utahavalanchecenter.org/observation/35024,,20180106,Unknown,0,0,Brackelsberg,1,0,0,"Persistent Weak Layer",Array,"Mineral Fork","UAC Staff",Array
35017,https://utahavalanchecenter.org/observation/35017,,20180106,Unknown,0,0,"Kelly p",1,0,0,,Array,"Depth Hoar Bowl","UAC Staff",Array
34982,https://utahavalanchecenter.org/observation/34982,,20180105,Unknown,0,0,Trenbeath,0,1,0,,Array,"Twin Lakes area","UAC Staff",Array
34977,https://utahavalanchecenter.org/observation/34977,Northwest,20180105,7500,0,0,"Mark Staples",1,1,1,,Array,"Little Cottonwood Canyon","UAC Staff",Array
34934,https://utahavalanchecenter.org/observation/34934,Northwest,20180104,10200,0,0,"Greg Gagne / Erme Catino",0,1,1,"Persistent Weak Layer",Array,"Silver Fork","UAC Staff",Array
34809,https://utahavalanchecenter.org/observation/34809,,20180101,Unknown,0,0,"Trenbeath, Hardesty, Wilson",0,0,0,"Persistent Weak Layer",Array,"Wilson Fork","UAC Staff",Array
34611,https://utahavalanchecenter.org/observation/34611,,20171228,Unknown,0,0,"Greg Gagne",1,1,0,"Persistent Weak Layer",Array,"Park City Ridgeline","UAC Staff",Array
34603,https://utahavalanchecenter.org/observation/34603,,20171228,Unknown,0,0,Evelyn,1,0,0,"Persistent Weak Layer",Array,10420,"UAC Staff",Array
34477,https://utahavalanchecenter.org/observation/34477,,20171226,Unknown,0,0,"Greg Gagne with Patrice Duvernay",1,1,0,"Persistent Weak Layer",Array,"Bear Trap","UAC Staff",Array
34421,https://utahavalanchecenter.org/observation/34421,,20171225,Unknown,0,0,Hardesty,1,0,0,,Array,"Reynolds Pk","UAC Staff",Array
34413,https://utahavalanchecenter.org/observation/34413,,20171225,7400,40.639488387404,-111.70898436218,"UAC staff",0,0,0,,Array,"All areas","UAC Staff",Array
